id,lat,lon,linea,estacion,barrio
31.00000000000,-34.6085590738533,-58.3742677264305,A,PERU,Monserrat
32.00000000000,-34.608881721215,-58.3790851530909,A,PIEDRAS,Monserrat
33.00000000000,-34.6090998065519,-58.3822324010182,A,LIMA,Monserrat
34.00000000000,-34.6094125865027,-58.3867771940873,A,SAENZ PEÑA,Monserrat
35.00000000000,-34.6092256843174,-58.3926688246649,A,CONGRESO,Balvanera
36.00000000000,-34.6096459617053,-58.3984269918123,A,PASCO,Balvanera
37.00000000000,-34.6098335784398,-58.401207534233,A,ALBERTI,Balvanera
38.00000000000,-34.6098172456706,-58.4067071165088,A,PLAZA DE MISERERE,Balvanera
39.00000000000,-34.6107816904504,-58.4151857088376,A,LORIA,Almagro
40.00000000000,-34.6117702291255,-58.4218156713706,A,CASTRO BARROSAlmagro
41.00000000000,-34.6152056103312,-58.4295003232997,A,RIO DE JANEIRO,Almagro
42.00000000000,-34.6182799671446,-58.4364285288494,A,ACOYTE,Caballito
43.00000000000,-34.6204052128589,-58.4411776251109,A,PRIMERA JUNTA,Caballito
70.00000000000,-34.6088103091689,-58.3709684989674,A,PLAZA DE MAYO,Monserrat
75.00000000000,-34.6266665931803,-58.4567097975238,A,CARABOBO,Flores
76.00000000000,-34.6235289528894,-58.4486476540264,A,PUAN,Caballito
83.00000000000,-34.630707087006,-58.4696396292247,A,SAN PEDRITO,Flores
82.00000000000,-34.629087226797,-58.4635405106287,A,SAN JOSÉ DE FLORES,Flores
20.00000000000,-34.6032972855775,-58.3750715182636,B,FLORIDA,San Nicolás
21.00000000000,-34.6036371051817,-58.3807148471409,B,C. PELLEGRINI,San Nicolás
22.00000000000,-34.6040935531057,-58.3872961335408,B,URUGUAY,San Nicolás
23.00000000000,-34.6044195428608,-58.3923142350888,B,CALLAO,San Nicolás
24.00000000000,-34.6046429679193,-58.399474256679,B,PASTEUR - AMIA,Balvanera
25.00000000000,-34.6045810553512,-58.4053994398434,B,PUEYRREDON,Balvanera
26.00000000000,-34.6040795173475,-58.4117625996321,B,CARLOS GARDEL,Balvanera
27.00000000000,-34.6031649010973,-58.4209624702706,B,MEDRANO,Balvanera
28.00000000000,-34.6021622293427,-58.4312738603246,B,ANGEL GALLARDO,Balvanera
29.00000000000,-34.5989673641588,-58.4397714984155,B,MALABIA - OSVALDO PUGLIESE,Villa Crespo
30.00000000000,-34.5917181536198,-58.4475730925312,B,DORREGO,Chacarita
66.00000000000,-34.5871978529904,-58.455029286281,B,FEDERICO LACROZE,Chacarita
72.00000000000,-34.6029894966332,-58.3699298501225,B,LEANDRO N. ALEM,San Nicolás
73.00000000000,-34.5840946201161,-58.4662272046922,B,TRONADOR - VILLA ORTÚZAR,Villa Ortuzar
74.00000000000,-34.5812488459579,-58.4742408261771,B,DE LOS INCAS -PQUE. CHAS,Parque Chas
80.00000000000,-34.5777973775423,-58.4810135036721,B,ECHEVERRÍA,Villa Urquiza
81.00000000000,-34.5743189142748,-58.4863853478891,B,JUAN MANUEL DE ROSAS - VILLA URQUIZA,Villa Urquiza
13.00000000000,-34.5911938083332,-58.3740182164816,C,RETIRO,Retiro
14.00000000000,-34.6017699230114,-58.3781557828244,C,LAVALLE,San Nicolás
15.00000000000,-34.6048437399141,-58.3795299800739,C,DIAGONAL NORTE,San Nicolás
16.00000000000,-34.6089833148827,-58.3806107179579,C,AV. DE MAYO,Monserrat
17.00000000000,-34.6126172798037,-58.3804444696601,C,MORENO,Monserrat
18.00000000000,-34.6181255992933,-58.3801736104752,C,INDEPENDENCIA,Constitución
19.00000000000,-34.6276194522548,-58.3814344339343,C,CONSTITUCION,Constitución
57.00000000000,-34.5950574047791,-58.3778190509867,C,SAN MARTIN,Retiro
58.00000000000,-34.6219167322081,-58.3799211788651,C,SAN JUAN,Constitución
6.00000000000,-34.6042452029629,-58.3805743428896,D,9 DE JULIO,San Nicolás
7.00000000000,-34.5997570807639,-58.3979237555734,D,FACULTAD DE MEDICINA,Balvanera
8.00000000000,-34.6015871651394,-58.3851423588013,D,TRIBUNALES - TEATRO COLÓN,San Cristobal
9.00000000000,-34.5916278437199,-58.4071613201899,D,AGÜERO,Recoleta
10.00000000000,-34.5851559440494,-58.4159554190067,D,R.SCALABRINI ORTIZ,Palermo
11.00000000000,-34.5814111936045,-58.4211960101264,D,PLAZA ITALIA,Palermo
12.00000000000,-34.5784220227904,-58.4257114411124,D,PALERMO,Palermo
54.00000000000,-34.5882371084182,-58.4112939013936,D,BULNES,Palermo
55.00000000000,-34.5944257186285,-58.4023953425351,D,PUEYRREDON,Recoleta
56.00000000000,-34.599639552419,-58.3931251809727,D,CALLAO,Recoleta
62.00000000000,-34.5751783641113,-58.4350135337339,D,MINISTRO CARRANZA,Palermo
63.00000000000,-34.5700123078257,-58.4446681483349,D,OLLEROS,Palermo
64.00000000000,-34.5662152421589,-58.452125603389,D,JOSE HERNANDEZ,Belgrano
65.00000000000,-34.5623090869975,-58.456489134589,D,JURAMENTO,Belgrano
69.00000000000,-34.6078023364289,-58.3739558069511,D,CATEDRAL,San Nicolás
71.00000000000,-34.5556417664261,-58.4623784082243,D,CONGRESO DE TUCUMAN,Belgrano
44.00000000000,-34.6092424288608,-58.3736842241685,E,BOLIVAR,Monserrat
45.00000000000,-34.6128491058186,-58.3775808865406,E,BELGRANO,Monserrat
46.00000000000,-34.6179373939772,-58.3815349417123,E,INDEPENDENCIA,Constitución
47.00000000000,-34.6223394919367,-58.3851485496238,E,SAN JOSE,Constitución
48.00000000000,-34.6227196661278,-58.3915116999715,E,ENTRE RIOS - RODOLFO WALSH,San Cristobal
49.00000000000,-34.6231098657791,-58.3970680746626,E,PICHINCHA,San Cristobal
50.00000000000,-34.6238657115835,-58.4029365802561,E,JUJUY,San Cristobal
51.00000000000,-34.6246537864662,-58.4093907834436,E,URQUIZA,San Cristobal
52.00000000000,-34.6280175487742,-58.4338162502395,E,JOSE MARIA MORENO,Parque Chacabuco
53.00000000000,-34.6310418421655,-58.4421707059653,E,EMILIO MITRE,Parque Chacabuco
59.00000000000,-34.6363891893858,-58.4502782563709,E,MEDALLA MILAGROSA,Parque Chacabuco
60.00000000000,-34.627015467002,-58.4267890228972,E,AV. LA PLATA,Parque Chacabuco
61.00000000000,-34.6253661058926,-58.4155328189678,E,BOEDO,Boedo
67.00000000000,-34.6433121624098,-58.4616517616898,E,PLAZA DE LOS VIRREYES - EVA PERON,Flores
68.00000000000,-34.640137352298,-58.4578917557731,E,VARELA,Flores
1.00000000000,-34.635750180343,-58.3989275853601,H,CASEROS,Parque Patricios
2.00000000000,-34.6293756575728,-58.4009695560165,H,INCLAN,Parque Patricios
3.00000000000,-34.6230923205019,-58.402322730424,H,HUMBERTO 1°,San Cristobal
4.00000000000,-34.6152421522706,-58.40473171649,H,VENEZUELA,Balvanera
5.00000000000,-34.6089352416216,-58.4060363810352,H,ONCE - 30 DE DICIEMBRE,Balvanera
77.00000000000,-34.6044902016081,-58.4054503284842,H,CORRIENTES,Balvanera
78.00000000000,-34.6384059882851,-58.4057948259686,H,PARQUE PATRICIOS,Parque Patricios
79.00000000000,-34.6412689433909,-58.4123851512005,H,HOSPITALES,Parque Patricios
84.00000000000,-34.5984551117734,-58.4037214964387,H,CÓRDOBA,Balvanera
85.00000000000,-34.5874615464262,-58.3972155751019,H,LAS HERAS,Recoleta
86.00000000000,-34.5945253962188,-58.402376175035,H,SANTA FE - CARLOS JA,Recoleta